year,category,nominee,workers,winner
1972,"Best Choral Performance, Classical",Berlioz: Requiem,"London Symphony Chorus, The Wandsworth School Choir, London Symphony Orchestra",True
1972,"Best Classical Performance, Instrumental Soloist or Soloists (with Orchestra)",Villa-Lobos: Concerto For Guitar,"Julian Bream (artist), London Symphony Orchestra (artist)",True
1972,"Best Classical Performance, Instrumental Soloist or Soloists (without Orchestra)",Horowitz Plays Rachmaninoff (Etudes-Tableaux Piano Music; Sonatas),Vladimir Horowitz (artist),True
1972,"Best Classical Performance, Orchestra",Mahler: Symphony No. 1 In D,Chicago Symphony Orchestra,True
1972,Best Classical Vocal Soloist Performance,Leontyne Price Sings Robert Schumann,Leontyne Price,True
1972,Best Comedy Recording,This is a Recording,Lily Tomlin,True
1972,Best Country Instrumental Performance,Snowbird,Chet Atkins,True
1972,Best Country Song,Help Me Make It Through The Night,"Kris Kristofferson (songwriter), Sammi Smith (artist)",True
1972,Best Country Vocal Performance by a Duo or Group,After The Fire Is Gone,"Conway Twitty, Loretta Lynn",True
1972,"Best Country Vocal Performance, Female",Help Me Make It Through The Night,Sammi Smith,True
1972,"Best Country Vocal Performance, Male","When You're Hot, You're Hot",Jerry Reed,True
1972,"Best Engineered Recording, Classical",Berlioz: Requiem,"Vittorio Negri (engineer), Colin Davis (conductor)",True
1972,"Best Engineered Recording, Non-Classical",Theme From Shaft,"Henry Bush (engineer), Ron Capone (engineer), Dave Purple (engineer), Isaac Hayes (artist)",True
1972,Best Ethnic or Traditional Recording,They Call Me Muddy Waters,Muddy Waters,True
1972,Best Gospel Performance,Let Me Live,Charley Pride,True
1972,Best Instrumental Arrangement,Theme From Shaft,"Johnny Allen (arranger), Isaac Hayes (artist/arranger)",True
1972,Best Instrumental Composition,Summer of '42,Michel Legrand (artist/composer),True
1972,Best Jazz Performance by a Big Band,New Orleans Suite,Duke Ellington,True
1972,Best Jazz Performance by a Group,The Bill Evans Album,The Bill Evans Trio,True
1972,Best Jazz Performance by a Soloist,The Bill Evans Album,Bill Evans,True
1972,Best New Artist of the Year,Carly Simon,,True
1972,Best Opera Recording,Verdi: Aida,"Erich Leinsdorf, Richard Mohr (producer), John Alldis Choir (artist), London Symphony Orchestra (artist)",True
1972,Best Original Score Written for a Motion Picture or a Television Special,Shaft,Isaac Hayes (artist/composer),True
1972,Best Original Score Written for a Motion Picture or a Television Special,Friends,"Elton John, Bernie Taupin",False
1972,Best Original Score Written for a Motion Picture or a Television Special,Ryan's Daughter,Maurice Jarre,False
1972,Best Pop Instrumental Performance,Smackwater Jack,Quincy Jones,True
1972,Best Pop Vocal Performance by a Duo or Group,Carpenters,The Carpenters,True
1972,"Best Pop Vocal Performance, Female",Tapestry,Carole King,True
1972,"Best Pop Vocal Performance, Female","Gypsies, Tramps & Thieves",Cher,False
1972,"Best Pop Vocal Performance, Female",The Night They Drove Old Dixie Down,Joan Baez,False
1972,"Best Pop Vocal Performance, Male",You've Got A Friend,James Taylor,True
1972,Best R&B Song,Ain't No Sunshine,Bill Withers (artist/songwriter),True
1972,Best R&B Vocal Performance by a Group,Proud Mary,Ike & Tina Turner,True
1972,"Best R&B Vocal Performance, Female",Bridge Over Troubled Water,Aretha Franklin,True
1972,"Best R&B Vocal Performance, Male",A Natural Man,Lou Rawls,True
1972,Best Recording for Children,Bill Cosby Talks To Kids About Drugs ,Bill Cosby,True
1972,Best Sacred Performance,Did You Think To Pray,Charley Pride,True
1972,Best Score from an Original Cast Show Album,Godspell (Original Cast),Stephen Schwartz (composer/producer),True
1972,Best Soul Gospel Performance,Put Your Hand In The Hand Of The Man From Galilee,Shirley Caesar,True
1972,Best Spoken Word Recording,Desiderata,Les Crane,True
1972,Record of the Year,It's Too Late,"Carole King (artist), Lou Adler (producer)",True
1972,Song of the Year,You've Got A Friend,Carole King (artist/songwriter),True
1973,Album of the Year,The Concert For Bangla Desh,"George Harrison (artist/producer), Ravi Shankar (artist), Bob Dylan (artist), Leon Russell (artist), Ringo Starr (artist), Billy Preston (artist), Eric Clapton (artist), Klaus Voormann (artist), Phil Spector (producer)",True
1973,Best Album Cover,The Siegel-Schwall Band,"Acy R. Lehman (art director), Siegel-Schwall Band (artist)",True
1973,Best Album Notes,Tom T. Hall's Greatest Hits,Tom T. Hall (artist/album notes writer),True
1973,"Best Album Notes, Classical",Vaughan Williams: Symphony No. 2 (A London Symphony),"James Lyons (album notes writer), André Previn (conductor)",True
1973,Best Arrangement Accompanying Vocalist(s),What Are You Doing The Rest Of Your Life?,"Michel Legrand (arranger), Sarah Vaughan (artist)",True
1973,Best Chamber Music Performance,"Julian And John (Works By Lawes, Carulli, Albeniz, Granados)","Julian Bream (artist), John Williams (artist)",True
1973,"Best Choral Performance, Classical",Mahler: Symphony No. 8 In E Flat (Symphony Of A Thousand),"The Vienna Boys' Choir, Wiener Singverein, Wiener Staatsopernchor, Chicago Symphony Orchestra",True
1973,Best Classical Album,Mahler: Symphony No. 8 In E Flat (Symphony Of A Thousand),"Georg Solti (artist), David Harvey (producer)",True
1973,Best Classical Performance Instrumental Soloist or Soloists (with Orchestra),Brahms: Piano Concerto No. 2 In B Flat,"Artur Rubinstein (artist), The Philadelphia Orchestra (artist)",True
1973,Best Classical Performance Instrumental Soloist or Soloists (without Orchestra),Horowitz Plays Chopin,Vladimir Horowitz (artist),True
1973,"Best Classical Performance, Orchestra",Mahler: Symphony No. 7 In E Minor,"Georg Solti, Chicago Symphony Orchestra",True
1973,Best Classical Vocal Soloist Performance,Brahms: Die Schone Magelone,Dietrich Fischer-Dieskau,True
1973,Best Comedy Recording,FM And AM,George Carlin,True
1973,Best Country Instrumental Performance,Charlie McCoy/The Real McCoy,Charlie McCoy,True
1973,Best Country Song,Kiss An Angel Good Mornin',"Ben Peters (songwriter), Charley Pride (artist)",True
1973,Best Country Vocal Performance by a Duo or Group,Class Of '57,The Statler Brothers,True
1973,"Best Country Vocal Performance, Female",Happiest Girl In The Whole USA,Donna Fargo,True
1973,"Best Country Vocal Performance, Male",Charley Pride Sings Heart Songs,Charley Pride,True
1973,"Best Engineered Recording, Classical",Mahler: Symphony No. 8 (Symphony Of A Thousand),"Gordon Parry (engineer), Kenneth Wilkinson (engineer), Georg Solti (conductor)",True
1973,"Best Engineered Recording, Non-Classical",Moods,"Armin Steiner (engineer), Neil Diamond (artist)",True
1973,Best Ethnic or Traditional Recording (Including Traditional Blues),The London Muddy Waters Session,Muddy Waters,True
1973,Best Gospel Performance,L-O-V-E,The Blackwood Brothers,True
1973,Best Inspirational Performance,He Touched Me,Elvis Presley,True
1973,Best Instrumental Arrangement,Theme from The French Connection,Don Ellis (arranger),True
1973,Best Instrumental Arrangement,Theme from The Mancini Generation,Henry Mancini (artist/arranger),False
1973,Best Instrumental Arrangement,Flat Baroque,Richard Carpenter (arranger),False
1973,Best Instrumental Composition,Outa-Space,Brian's Song,True
1973,Best Instrumental Composition,Brass on Ivory,Henry Mancini,False
1973,Best Instrumental Composition,Theme from The Godfather,The Godfather,False
1973,Best Jazz Performance by a Big Band,Toga Brava Suite,Duke Ellington,True
1973,Best Jazz Performance by a Group,First Light,Freddie Hubbard,True
1973,Best Jazz Performance by a Soloist,Alone At Last,Gary Burton (soloist),True
1973,Best New Artist of the Year,America,,True
1973,Best Opera Recording,Berlioz: Benvenuto Cellini,"Colin Davis, Erik Smith (producer), BBC Symphony Orchestra (artist)",True
1973,Best Original Score Written for a Motion Picture or a Television Special,The Godfather,Nino Rota (artist/composer),True
1973,Best Original Score Written for a Motion Picture or a Television Special,Nicholas and Alexandra,Richard Rodney Bennett,False
1973,Best Original Score Written for a Motion Picture or a Television Special,The Garden of the Finzi-Continis,Manuel De Sica,False
1973,"Best Pop Instrumental Performance by an Arranger, Composer, Orchestra and/or Choral Leader",Black Moses,Isaac Hayes,True
1973,"Best Pop Instrumental Performance by an Arranger, Composer, Orchestra and/or Choral Leader",Pictures At An Exhibition,Emerson Lake and Palmer,False
1973,"Best Pop Instrumental Performance by an Arranger, Composer, Orchestra and/or Choral Leader",Money Runner,Quincy Jones,False
1973,Best Pop Instrumental Performance by an Instrumental Performer,Outa-Space,Billy Preston,True
1973,"Best Pop Vocal Performance by a Duo, Group or Chorus",Where Is The Love,"Donny Hathaway, Roberta Flack",True
1973,"Best Pop Vocal Performance, Female",I Am Woman,Helen Reddy,True
1973,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
1973,Best R&B Instrumental Performance,Papa Was A Rollin' Stone,"The Temptations, Paul Riser",True
1973,Best R&B Song,Papa Was A Rollin' Stone,"Barrett Strong (songwriter), Norman Whitfield (songwriter), The Temptations (artist)",True
1973,"Best R&B Vocal Performance by a Duo, Group or Chorus",Papa Was A Rollin' Stone,The Temptations,True
1973,"Best R&B Vocal Performance, Female","Young, Gifted And Black",Aretha Franklin,True
1973,"Best R&B Vocal Performance, Male",Me And Mrs. Jones,Billy Paul,True
1973,Best Recording for Children,The Electric Company,"Rita Moreno, Bill Cosby",True
1973,Best Score from an Original Cast Show Album,"Don't Bother Me, I Can't Cope (Various Artists)","Micki Grant (composer), Jerry Ragovoy (producer)",True
1973,Best Soul Gospel Performance,Amazing Grace,Aretha Franklin,True
1973,Best Spoken Word Recording,Lenny (Original Cast),,True
1973,Record of the Year,The First Time Ever I Saw Your Face,"Roberta Flack (artist), Joel Dorn (producer)",True
1973,Song of the Year,The First Time Ever I Saw Your Face,"Ewan MacColl (songwriter), Roberta Flack (artist)",True
1974,Album of Best Original Score Written for a Motion Picture or a Television Special,Jonathan Livingston Seagull,Neil Diamond (artist/composer),True
1974,Album of Best Original Score Written for a Motion Picture or a Television Special,Live and Let Die,"Paul McCartney, Linda McCartney, George Martin",False
1974,Album of Best Original Score Written for a Motion Picture or a Television Special,Sounder,Taj Mahal,False
1974,Album of the Year,Innervisions,Stevie Wonder (artist/producer),True
1974,"Album of the Year, Classical",Bartók: Concerto For Orchestra,"Pierre Boulez (artist), Thomas Z. Shepard (producer)",True
1974,Best Album Notes,God Is In The House,"Dan Morgenstern (album notes writer), Art Tatum (artist)",True
1974,"Best Album Notes, Classical",Hindemith: Sonatas For Piano,Glenn Gould (artist/album notes writer),True
1974,Best Album Package,Tommy,"Tom Wilkes (art director), London Symphony Orchestra (artist)",True
1974,Best Arrangement Accompanying Vocalist(s),Live And Let Die,"George Martin (arranger), Paul McCartney (artist), Wings (artist)",True
1974,Best Chamber Music Performance,Joplin: The Red Back Book,Gunther Schuller (artist),True
1974,"Best Choral Performance, Classical",Walton: Belshazzer's Feast,"London Symphony Chorus, London Symphony Orchestra",True
1974,Best Classical Performance Instrumental Soloist or Soloists (with Orchestra),Beethoven: Concerti (5) For Piano And Orchestra,"Vladimir Ashkenazy (artist), Chicago Symphony Orchestra (artist)",True
1974,Best Classical Performance Instrumental Soloist or Soloists (without Orchestra),Scriabin: Horowitz Plays Scriabin,Vladimir Horowitz (artist),True
1974,"Best Classical Performance, Orchestra",Bartók: Concerto For Orchestra,New York Philharmonic,True
1974,Best Classical Vocal Soloist Performance,Puccini: Heroines,"Edward Downes, The Philharmonia Orchestra (artist)",True
1974,Best Comedy Recording,Los Cochinos,"Tommy Chong, Cheech Marin",True
1974,Best Country Instrumental Performance,Dueling Banjos,"Steve Mandell, Eric Weissberg",True
1974,Best Country Instrumental Performance,Superpickers,Chet Atkins,False
1974,Best Country Instrumental Performance,I'll Fly Away,Danny Davis and the Nashville Brass,False
1974,Best Country Song,Behind Closed Doors,"Kenny O'Dell (songwriter), Charlie Rich (artist)",True
1974,Best Country Vocal Performance by a Duo or Group,From The Bottle To The Bottom,"Kris Kristofferson, Rita Coolidge",True
1974,"Best Country Vocal Performance, Female",Let Me Be There,Olivia Newton-John,True
1974,"Best Country Vocal Performance, Male",Behind Closed Doors,Charlie Rich,True
1974,"Best Engineered Recording, Classical",Bartók: Concerto For Orchestra,"Edward T. Graham (engineer), Ray Moore (engineer), Pierre Boulez (conductor)",True
1974,"Best Engineered Recording, Non-Classical",Innervisions,"Malcolm Cecil (engineer), Robert Margouleff (engineer), Stevie Wonder (artist)",True
1974,Best Ethnic or Traditional Recording (Including Traditional Blues),Then And Now,Doc Watson,True
1974,Best Gospel Performance,Release Me (From My Sin),The Blackwood Brothers,True
1974,Best Inspirational Performance,Let's Just Praise The Lord,The Bill Gaither Trio,True
1974,Best Instrumental Arrangement,Summer In The City,Quincy Jones (artist/arranger),True
1974,Best Instrumental Composition,Last Tango in Paris,"Gato Barbieri (composer), Chuck Mangione (artist), Herb Alpert (artist)",True
1974,Best Jazz Performance by a Big Band,Giant Steps,Woody Herman,True
1974,Best Jazz Performance by a Group,Supersax Plays Bird,Supersax,True
1974,Best Jazz Performance by a Soloist,God Is In The House,Art Tatum (soloist),True
1974,Best New Artist,Bette Midler,,True
1974,Best Opera Recording,Bizet: Carmen,"Leonard Bernstein, Tom Mowrey (producer), Manhattan Opera Chorus (artist), Metropolitan Opera Orchestra (artist)",True
1974,Best Pop Instrumental Performance,Also Sprach Zarathustra (2001),Eumir Deodato,True
1974,"Best Pop Vocal Performance by a Duo, Group or Chorus",Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight & The Pips,True
1974,"Best Pop Vocal Performance, Female",Killing Me Softly With His Song,Roberta Flack,True
1974,"Best Pop Vocal Performance, Male",You Are The Sunshine Of My Life,Stevie Wonder,True
1974,Best R&B Instrumental Performance,Hang On Sloopy,Ramsey Lewis,True
1974,Best R&B Song,Superstition,Stevie Wonder (artist/songwriter),True
1974,"Best R&B Vocal Performance by a Duo, Group or Chorus",Midnight Train To Georgia,Gladys Knight & The Pips,True
1974,"Best R&B Vocal Performance, Female",Master Of Eyes,Aretha Franklin,True
1974,"Best R&B Vocal Performance, Male",Superstition,Stevie Wonder,True
1974,Best Recording for Children,Sesame Street Live,Sesame Street Cast,True
1974,Best Score from the Original Cast Show Album,A Little Night Music (Various Artists),"Stephen Sondheim (composer), Goddard Lieberson (producer)",True
1974,Best Soul Gospel Performance,Loves Me Like A Rock,The Dixie Hummingbirds,True
1974,Best Spoken Word Recording,Jonathan Livingston Seagull,Richard Harris,True
1974,Record of the Year,Killing Me Softly With His Song,"Roberta Flack (artist), Joel Dorn (producer)",True
1974,Song of the Year,Killing Me Softly With His Song,"Charles Fox (songwriter), Norman Gimbel (songwriter), Roberta Flack (artist)",True
1975,Album of Best Original Score Written for a Motion Picture,The Way We Were,"Alan Bergman, Marilyn Bergman, Marvin Hamlisch",True
1975,Album of Best Original Score Written for a Motion Picture,QB VII,Jerry Goldsmith,False
1975,Album of Best Original Score Written for a Motion Picture,The Three Musketeers,Michel Legrand,False
1975,Album of Best Original Score Written for a Motion Picture or a Television Special,The Way We Were,"Barbra Streisand (artist), Alan Bergman (composer), Marilyn Bergman (composer), Marvin Hamlisch (composer)",True
1975,Album of the Year,Fulfillingness' First Finale,Stevie Wonder (artist/producer),True
1975,"Album of the Year, Classical",Berlioz: Symphonie Fantastique,"Georg Solti (artist), David Harvey (producer)",True
1975,Best Album Notes,For The Last Time,"Bob Wills (artist), Charles Townsend (album notes writer), The Texas Playboys (artist)",True
1975,Best Album Notes - Classical,Korngold: The Classic Erich Wolfgang Korngold,Rory Guy (album notes writer),True
1975,Best Album Package,Come And Gone,"Ed Thrasher (art director), Christopher Whorf (art director)",True
1975,Best Arrangement Accompanying Vocalists,Down To You,"Tom Scott (arranger), Joni Mitchell (arranger/artist)",True
1975,Best Chamber Music Performance,Brahms: Trios (Complete)/Schumann: Trio No. 1 In D Minor,"Henrik Szering (artist), Artur Rubinstein (artist), Pierre Fournier (artist)",True
1975,"Best Choral Performance, Classical (other than opera)",Berlioz: The Damnation Of Faust,"London Symphony Orchestra (artist), The Ambrosian Singers (artist), London Symphony Chorus (artist), The Wandsworth School Choir (artist)",True
1975,Best Classical Performance - Orchestra,Berlioz: Symphonie Fantastique,Chicago Symphony Orchestra (artist),True
1975,Best Classical Performance Instrumental Soloist or Soloists (with orchestra),Shostakovich: Violin Concerto No. 1,"David Oistrakh (artist), The Philharmonia Orchestra (artist)",True
1975,Best Classical Performance Instrumental Soloist or Soloists (without orchestra),Albeniz: Iberia,Alicia de Larrocha (artist),True
1975,Best Comedy Recording,That Nigger's Crazy,Richard Pryor,True
1975,Best Country Instrumental Performance,The Atkins-Travis Traveling Show,"Chet Atkins (artist), Merle Travis (artist)",True
1975,Best Country Song,A Very Special Love Song,"Billy Sherrill (songwriter), Norris Wilson (songwriter), Charlie Rich (artist)",True
1975,Best Country Vocal Performance by a Duo or Group,Fairytale,The Pointer Sisters (artist),True
1975,"Best Country Vocal Performance, Female",Love Song,Anne Murray (artist),True
1975,"Best Country Vocal Performance, Male",Please Don't Tell Me How The Story Ends,Ronnie Milsap (artist),True
1975,Best Engineered Recording - Non-Classical,Band On The Run,"Geoff Emerick (engineer), Paul McCartney (engineer)",True
1975,Best Ethnic or Traditional Recording,Two Days In November,"Merle Watson (artist), Doc Watson (artist)",True
1975,Best Gospel Performance (other than soul gospel),The Baptism Of Jesse Taylor,The Oak Ridge Boys (artist),True
1975,Best Inspirational Performance (non-classical),How Great Thou Art,Elvis Presley (artist),True
1975,Best Instrumental Arrangement,Threshold,Pat Williams (arranger/artist),True
1975,Best Instrumental Composition,Tubular Bells - Theme From The Exorcist,Mike Oldfield (composer/artist),True
1975,Best Jazz Performance by a Big Band,Thundering Herd,Woody Herman (artist),True
1975,Best Jazz Performance by a Group,The Trio,"Joe Pass (artist), Oscar Peterson (artist), Niels Pedersen (artist)",True
1975,Best Jazz Performance by a Soloist,First Recordings!,Charlie Parker (soloist),True
1975,Best New Artist of the Year,Marvin Hamlisch (artist),,True
1975,Best Opera Recording,Puccini: La Boheme,"London Philharmonic Orchestra (artist), Richard Moir (producer), Georg Solti (producer)",True
1975,Best Pop Instrumental Performance,The Entertainer,Paul McCartney (artist),True
1975,"Best Pop Vocal Performance by a Duo, Group or Chorus",Band On The Run,Paul McCartney (artist),True
1975,"Best Pop Vocal Performance, Female",I Honestly Love You,Olivia Newton-John (artist),True
1975,"Best Pop Vocal Performance, Male",Fulfillingness' First Finale,Stevie Wonder (artist),True
1975,Best Producer of the Year,Thom Bell (producer),,True
1975,Best R&B Instrumental Performance,The Sound Of Philadelphia,MFSB (artist),True
1975,"Best R&B Vocal Performance by a Duo, Group or Chorus",Tell Me Something Good,Rufus (artist),True
1975,"Best R&B Vocal Performance, Female",Ain't Nothing Like The Real Thing,Aretha Franklin (artist),True
1975,"Best R&B Vocal Performance, Male",Boogie On Reggae Woman,Stevie Wonder (artist),True
1975,Best Recording for Children,For the original motion picture soundtrack.,Winnie the Pooh and Tigger Too,True
1975,Best Rhythm & Blues Song,Living For The City,Stevie Wonder (songwriter/artist),True
1975,Best Score from the Original Cast Show Album,Raisin,"Robert Brittan (composer), Judd Woldin (composer), Thomas Z. Shepard (producer), Virginia Capers (artist), Joe Morton (artist), Ernestine Jackson (artist), Robert Jackson (artist), Deborah Allen (artist), Helen Martin (artist)",True
1975,Best Soul Gospel Performance,In The Ghetto,"Southern California Community Choir (artist), James Cleveland (artist)",True
1975,Best Spoken Word Recording,Good Evening,"Dudley Moore (artist), Peter Cook (artist)",True
1975,Record of the Year,I Honestly Love You,"Olivia Newton-John (artist), John Farrar (producer)",True
1975,Song of the Year,The Way We Were,"Barbra Streisand (artist), Alan Bergman (songwriter), Marilyn Bergman (songwriter), Marvin Hamlisch (songwriter)",True
1975,Best Country Vocal Performance - Female,Jolene.,Dolly Parton,False
1975,Best New Artist,Bad Company,,False
1976,Album of Best Original Score Written for a Motion Picture or Television Special,Jaws,John Williams,True
1976,Album of Best Original Score Written for a Motion Picture or Television Special,Nashville,"Keith Carradine, Ronee Blakley, Richard Baskin, Ben Raleigh, Richard Reicheg, Henry Gibson, Karen Black",False
1976,Album of Best Original Score Written for a Motion Picture or Television Special,The Wind and the Lion,Jerry Goldsmith,False
1976,Album of Best Original Score Written for a Motion Picture or a Television Special,Jaws,John Williams (composer),True
1976,Album of the Year,Still Crazy After All These Year,"Phil Ramone (producer), Paul Simon (producer)",True
1976,"Album of the Year, Classical",Beethoven: Symphonies (9) Complete,"Raymond Minshull (producer), Georg Solti (artist)",True
1976,BEST ARRANGEMENT ACCOMPANYING VOCALIST,Misty,Ray Stevens,True
1976,Best Album Notes,Blood On The Tracks,"Bob Dylan (artist), Pete Hamill (album notes writer)",True
1976,"Best Album Notes, Classical",Footlifters,Gunther Schuller (album notes writer/artist),True
1976,Best Album Package,Honey,"Ohio Players (artist), Jim Ladwig (art director)",True
1976,Best Arrangement Accompanying Vocalist(s),Misty,Ray Stevens (arranger/artist),True
1976,Best Cast Show Album,The Wiz,"Dee Dee Bridgewater (artist), Charlie Smalls (composer), Jerry Wexler (producer), Stephanie Mills (artist)",True
1976,Best Chamber Music Performance,"Schubert: Trios Nos. 1 In B Flat, Op. 99 And 2 In E Flat, Op. 100 (Piano Trios)","Henrik Szering (artist), Artur Rubinstein (artist), Pierre Fournier (artist)",True
1976,"Best Choral Performance, Classical (other than opera)",Orff: Carmina Burana,"The Cleveland Orchestra (artist), Cleveland Boys Choir (artist)",True
1976,Best Classical Performance - Orchestra,Ravel: Daphnis Et Chloe (Complete Ballet),New York Philharmonic (artist),True
1976,Best Classical Performance Instrumental Soloist or Soloists (with orchestra),"Schubert: Trios Nos. 1 In B Flat, Op. 99 And 2 In E Flat, Op. 100 (Piano Trios)","Pierre Fournier (artist), Artur Rubinstein (artist), Henrik Szering (artist)",True
1976,Best Classical Performance Instrumental Soloist or Soloists (without orchestra),Bach: Sonatas And Partitas For Violin Unaccompanied,Nathan Milstein (artist),True
1976,Best Classical Vocal Soloist Performance,Mahler: Kindertotenlieder,Israel Philharmonic Orchestra (artist),True
1976,Best Comedy Recording,Is It Something I Said?.,Richard Pryor,True
1976,Best Comedy Recording,Modern Scream.,Lily Tomlin,False
1976,Best Country Instrumental Performance,The Entertainer,Chet Atkins (artist),True
1976,Best Country Song,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,"Larry Butler (songwriter), Chips Moman (songwriter), B.J. Thomas (artist)",True
1976,Best Country Vocal Performance by a Duo or Group,Lover Please,Kris Kristofferson (artist),True
1976,"Best Country Vocal Performance, Female",I Can't Help It (If I'm Still In Love With You),Linda Ronstadt (artist),True
1976,"Best Country Vocal Performance, Male",Blue Eyes Crying In The Rain,Willie Nelson (artist),True
1976,Best Engineered Recording - Non-Classical,Between The Lines,"Janis Ian (artist), Larry Alexander (engineer), Brooks Arthur (engineer), Russ Payne (engineer)",True
1976,"Best Engineered Recording, Classical",Ravel: Daphnis Et Chloe (Complete Ballet),"Pierre Boulez (conductor), Milton Cherin (engineer), Edward T. Graham (engineer), Rudy Ray Moore (engineer)",True
1976,Best Ethnic or Traditional Recording,The Muddy Waters Woodstock Album,Muddy Waters (artist),True
1976,Best Gospel Performance (other than soul gospel),No Shortage,The Imperials (artist),True
1976,Best Inspirational Performance,"Jesus, We Just Want To Thank You",The Bill Gaither Trio (artist),True
1976,Best Instrumental Arrangement,The Rockford Files,"Pete Carpenter (arranger), Mike Post (arranger/artist)",True
1976,Best Instrumental Composition,Images,"Phil Woods (artist), Michel Legrand (composer/artist)",True
1976,Best Jazz Performance BY a Soloist,Oscar Peterson And Dizzy Gillespie,Dizzy Gillespie (soloist),True
1976,Best Jazz Performance by a Big Band,Images,"Phil Woods (artist), Michel Legrand (artist)",True
1976,Best Jazz Performance by a Group,No Mystery,Chick Corea (artist),True
1976,Best Latin Recording,Sun Of Latin Music,Eddie Palmieri (artist),True
1976,Best New Artist of the Year,Natalie Cole (artist),,True
1976,Best Opera Recording,Mozart: Cosi Fan Tutte,"Colin Davis (producer), Erik Smith (producer), Orchestra of the Royal Opera House (artist)",True
1976,"Best Pop Vocal Performance by a Duo, Group or Chorus",Lyin' Eyes,Eagles (artist),True
1976,"Best Pop Vocal Performance, Female",At Seventeen,Janis Ian (artist),True
1976,"Best Pop Vocal Performance, Male",Still Crazy After All These Years,Paul Simon (artist),True
1976,Best Producer of the Year,Arif Mardin (producer),,True
1976,Best R&B Instrumental Performance,"Fly, Robin, Fly",Silver Convention (artist),True
1976,"Best R&B Vocal Performance by a Duo, Group or Chorus",Shining Star,Earth Wind & Fire (artist),True
1976,"Best R&B Vocal Performance, Female",This Will Be,Natalie Cole (artist),True
1976,"Best R&B Vocal Performance, Male",Living For The City,Ray Charles (artist),True
1976,Best Recording for Children,The Little Prince.,"Richard Burton (narrated by), Jonathan Winters (performed by), Billy Simpson (performed by)",True
1976,Best Rhythm & Blues Song,Where Is The Love,"Richard Finch (songwriter), Harry Wayne Casey (songwriter), Willie Clarke (songwriter), Betty Wright (songwriter/artist)",True
1976,Best Soul Gospel Performance,Take Me Back,Andraé Crouch (artist),True
1976,Best Spoken Word Album,"Give 'em Hell, Harry!",James Whitmore,True
1976,Best Spoken Word Recording,Give 'Em Hell Harry,James Whitmore (artist),True
1976,Record of the Year,Love Will Keep Us Together,"Daryl Dragon (artist), Captain & Tennille (producer)",True
1976,Song of the Year,Send In The Clowns,"Judy Collins (artist), Stephen Sondheim (songwriter)",True
1976,Best Country Vocal Performance - Female,Jolene (Live track performance).,Dolly Parton,False
1976,Best Country Vocal Performance - Male,Misty,Ray Stevens,False
1977,Album of Best Original Score Written for a Motion Picture or Television Special,Car Wash (Various Artists),Norman Whitfield (composer),True
1977,Album of the Year,Songs In The Key Of Life,Stevie Wonder (artist/producer),True
1977,Best Album Notes,The Changing Face Of Harlem - The Savoy Sessions (Various Artists),Dan Morgenstern (album notes writer),True
1977,Best Album Package,Chicago X,"Chicago (artist), John Berg (art director)",True
1977,Best Album of Original Score Written for a Motion Picture or Television Special,Car Wash,Norman Whitfield,True
1977,Best Album of Original Score Written for a Motion Picture or Television Special,Posthumously.,"Rich Man, Poor Man",False
1977,Best Album of Original Score Written for a Motion Picture or Television Special,The Omen,Jerry Goldsmith,False
1977,Best Arrangement Accompanying Vocalist(s),If You Leave Me Now,"James William Guercio (arranger), Jimmie Haskell (arranger)",True
1977,"Best Arrangement for Voices (duo, group or chorus)",Afternoon Delight,Starland Vocal Band (arranger/artist),True
1977,Best Cast Show Album,Bubbling Brown Sugar,"Original Broadway Cast (artist), Luigi Creatore (producer), Hugo Peretti (producer)",True
1977,Best Chamber Music Performance,The Art Of Courtly Love,David Munrow (artist),True
1977,Best Choral Performance (other than opera),Rachmaninoff: The Bells,"London Symphony Chorus (artist), London Symphony Orchestra (artist)",True
1977,Best Classical Orchestral Performance,Strauss: Also Sprach Zarathustra,Chicago Symphony Orchestra (artist),True
1977,"Best Classical Performance, Instrumental Soloist or Soloists (with orchestra)",Beethoven: The Five Piano Concertos,"London Philharmonic Orchestra (artist), Artur Rubinstein (artist)",True
1977,"Best Classical Performance, Instrumental Soloist or Soloists (without orchestra)",Horowitz Concerts 1975/76,Vladimir Horowitz (artist),True
1977,Best Classical Vocal Soloist Performance,Herbert: Music Of Victor Herbert,,True
1977,Best Comedy Recording,Bicentennial Nigger,Richard Pryor,True
1977,Best Country Instrumental Performance,Chester And Lester,"Les Paul (artist), Chet Atkins (artist)",True
1977,Best Country Song,Broken Lady,Larry Gatlin (songwriter),True
1977,Best Country Vocal Performance by a Duo or Group,The End Is Not In Sight (The Cowboy Tune),The Amazing Rhythm Aces (artist),True
1977,"Best Country Vocal Performance, Female",Elite Hotel,Emmylou Harris (artist),True
1977,"Best Country Vocal Performance, Male",(I'm A) Stand By My Woman Man,Ronnie Milsap (artist),True
1977,Best Engineered Recording - Non-Classical,Breezin',"George Benson (artist), Al Schmitt (engineer)",True
1977,"Best Engineered Recording, Classical",Gershwin: Rhapsody In Blue,"Rudy Ray Moore (engineer), Edward T. Graham (engineer), Milton Cherin (engineer)",True
